order_id,customer_id,product,amount,order_date,status
O00047,,Laptop Pro,2599.98,2023-01-31,complete
O00133,C0079,Smart Bulb,15.99,2025-10-26,PENDING
O00089,C0028,Headphones Pro,999.96,2024-01-29,refunded
O00231,C0026,Water Bottle,24.99,2023-10-05,done
O00095,C0054,Monitor 27in,799.98,2023-10-11,done
O00167,C0005,Monitor 27in,1599.96,27/12/2023,completed
O00290,C0059,Plant Pot,49.95,04-23-2023,done
O00234,C0051,Headphones Pro,749.97,2025-10-02,Refunded
O00269,C0012,Water Bottle,74.97,10/05/2023,CANCELLED
O00250,C0009,Power Strip,34.99,18/01/2024,complete
O00086,C0078,Standing Desk,1499.97,06-16-2023,Refunded
O00136,C0070,Pen Pack,17.97,09-16-2025,refunded
O00118,C0021,Laptop Pro,2599.98,2025-06-16,completed
O00199,C0049,Plant Pot,49.95,2023-03-22,pending
O00145,C0025,Phone Stand,99.95,14/08/2024,pending
O00233,C0077,Standing Desk,1499.97,10-18-2024,Refunded
O00224,C0049,Standing Desk,1999.96,2024-10-10,complete
O00171,C0002,Headphones Pro,749.97,01-31-2024,cancelled
O00209,C0018,Webcam HD,79.99,2023-11-06,completed
O00258,C0063,Monitor 27in,,05/03/2023,refunded
O00249,C0058,Power Strip,139.96,03-07-2025,completed
O00018,C0020,Whiteboard,59.99,09-16-2023,CANCELLED
O00058,C0055,Wireless Mouse,89.97,2024-10-01,complete
O00160,C0036,Pen Pack,5.99,16/02/2025,Complete
O00185,C0054,Phone Stand,79.96,07/07/2025,Complete
O00135,C0006,Power Strip,104.97,07/03/2024,Refunded
O00164,,Backpack,269.97,08-25-2025,pending
O00037,C0048,Notebook Set,64.95,19/02/2025,PENDING
O00014,C0054,Headphones Pro,1249.95,01/07/2024,completed
O00157,C0049,Headphones Pro,499.98,30/07/2025,CANCELLED
O00168,C0038,Wireless Mouse,29.99,09-03-2024,Refunded
O00053,C0078,Backpack,89.99,08-23-2023,PENDING
O00146,C0036,Plant Pot,49.95,2023-09-01,cancelled
O00169,C0037,Water Bottle,124.95,2025-12-09,canceled
